date,open,high,low,close,volume
2010-07-17,0.04951,0.04951,0.04951,0.04951,20
2010-07-18,0.04951,0.08585,0.04951,0.08584,75.01
2010-07-19,0.08584,0.09307,0.07723,0.0808,574
2010-07-20,0.0808,0.08181,0.07426,0.07474,262
2010-07-21,0.07474,0.07921,0.06634,0.07921,575
2010-07-22,0.07921,0.08181,0.0505,0.05842,2160
2010-07-23,0.05842,0.06767,0.0505,0.06262,2402.5
2010-07-24,0.06262,0.06262,0.05049,0.05454,496.32
2010-07-25,0.05454,0.05941,0.0505,0.0505,1551.48
2010-07-26,0.0505,0.056,0.05,0.056,877
2010-07-27,0.056,0.0605,0.053,0.06,3373.69
2010-07-28,0.06,0.062,0.054,0.0589,4390.29
2010-07-29,0.0589,0.0699,0.0571,0.0699,8058.49
2010-07-30,0.0699,0.0699,0.0582,0.0627,3020.85
2010-07-31,0.0627,0.06889,0.056,0.06785,4022.25
2010-08-01,0.06785,0.06785,0.06,0.0611,2601
2010-08-02,0.0611,0.0633,0.06,0.0611,3599
2010-08-03,0.0611,0.065,0.059,0.06,9821.46
2010-08-04,0.06,0.06231,0.057,0.057,3494
2010-08-05,0.057,0.061,0.057,0.061,5034.07
2010-08-06,0.061,0.0624,0.0607,0.0623,1395
2010-08-07,0.0623,0.0623,0.059,0.059,2619
2010-08-08,0.059,0.061,0.059,0.0609,2201
2010-08-09,0.0609,0.0735,0.0593,0.071,13631.09
2010-08-10,0.071,0.071,0.06651,0.07,1310.39
2010-08-11,0.07,0.07541,0.06,0.067,14061.18
2010-08-12,0.067,0.07,0.06141,0.07,2062.31
2010-08-13,0.07,0.07,0.0645,0.0645,3591.77
2010-08-14,0.0645,0.0695,0.0645,0.067,4404.2
2010-08-15,0.067,0.067,0.065,0.06529,4462.87
2010-08-16,0.06529,0.0679,0.062,0.0655,10731.47
2010-08-17,0.0655,0.0769,0.06243,0.07,13185.74
2010-08-18,0.07,0.0733,0.067,0.068,2953.98
2010-08-19,0.068,0.068,0.0667,0.0667,741.12
2010-08-20,0.0667,0.0667,0.065,0.0655,4199.75
2010-08-21,0.0655,0.0669,0.0644,0.0664,10443.86
2010-08-22,0.0664,0.0664,0.0612,0.066,18648.97
2010-08-23,0.066,0.06689,0.063,0.06491,4297.49
2010-08-24,0.06491,0.0665,0.06491,0.065,6711.76
2010-08-25,0.065,0.0665,0.0641,0.0648,4228.88
2010-08-26,0.0648,0.0658,0.064,0.064,3870.01
2010-08-27,0.064,0.065,0.063,0.065,9009.97
